block,plot,sub,bkgrd,dens,phyto,phyto.n.indiv,phyto.date.census,phyto.date.collect,phyto.unique,Nbrhood.size,bkgrd.n.indiv,bg.date.census,CRCO,ERBO,FIGA,GAMU,HYGL,SIGA,other,notes,plot.notes,sub.notes,unique
1,2,12,ANAR,L,LOMU,2,05/06/2022,,A,10,8,05/06/2022,1,0,0,0,0,0,1,phytos are the northern and Eastern phytos.,,,37
1,2,13,ANAR,L,ANAR,,,,,10,,,,,,,,,,,,,38
1,2,14,ANAR,L,MICA,1,04/04/2022,04/04/2022,B,10,36,04/04/2022,16,0,0,0,0,0,0,,,,11549
1,2,14,ANAR,L,MICA,2,04/04/2022,04/04/2022,A,10,6,04/04/2022,50,0,0,0,0,0,0,,,,39
1,2,15,ANAR,L,BRNI,0,04/27/2022,,,18,23,04/27/2022,37,0,1,0,0,0,0,,,,40
1,2,16,ANAR,L,TACA,1,05/06/2022,,A,10,6,05/06/2022,8,1,0,0,0,5,0,Northern most phyto with ERBO in neighborhood.,,,41
1,2,16,ANAR,L,TACA,1,05/06/2022,,B,10,11,05/06/2022,11,0,0,1,0,6,0,Southern most phyto. ,,,11757
1,2,17,ANAR,L,THIR-I,1,05/06/2022,,,18,39,05/06/2022,14,0,0,4,0,6,0,,,,42
1,2,18,ANAR,L,empty,,,,,,,,,,,,,,,,,,43
1,2,19,ANAR,L,CESO,0,05/06/2022,,,18,37,05/06/2022,35,0,1,0,0,3,1,Other = AVBA,,,44
1,2,20,ANAR,L,GITR,1,04/19/2022,04/19/2022,,10,13,04/19/2022,58,0,0,0,0,2,0,,,,45
1,2,21,ANAR,L,CLPU,1,05/06/2022,,,10,0,05/06/2022,10,1,1,0,0,1,0,,,,46
1,2,22,ANAR,L,VIVI,-9999,,,,,,,,,,,,,,,,,47
1,2,23,ANAR,L,AMME,1,04/04/2022,04/04/2022,,18,11,04/04/2022,61,0,0,0,0,3,1,,,,48
1,2,24,ANAR,L,AVBA,1,05/06/2022,,,,30,05/06/2022,18,0,1,0,0,4,0,,,,49
1,2,25,ANAR,L,empty,,,,,,,,,,,,,,,,,,50
1,3,1,VIVI,H,TACA,-9999,,,,,,,,,,,,,,,,,51
1,3,2,VIVI,H,PLNO,-9999,,,,,,,,,,,,,,,,,52
1,3,3,VIVI,H,LOMU,-9999,,,,,,,,,,,,,,,,,53
1,3,4,VIVI,H,ACAM,-9999,,,,,,,,,,,,,,,,,54
1,3,5,VIVI,H,CESO,-9999,,,,,,,,,,,,,,,,,55
1,3,6,VIVI,H,PLER,-9999,,,,,,,,,,,,,,,,,56
1,3,7,VIVI,H,BRNI,-9999,,,,,,,,,,,,,,,,,57
1,3,8,VIVI,H,BRHO,-9999,,,,,,,,,,,,,,,,,58
1,3,9,VIVI,H,LENI,-9999,,,,,,,,,,,,,,,,,59
1,3,10,VIVI,H,MAEL,-9999,,,,,,,,,,,,,,,,,60
1,3,11,VIVI,H,TWIL-I,-9999,,,,,,,,,,,,,,,,,61
1,3,12,VIVI,H,empty,-9999,,,,,,,,,,,,,,,,,62
1,3,13,VIVI,H,MICA,-9999,,,,,,,,,,,,,,,,,63
1,3,14,VIVI,H,VIVI,-9999,,,,,,,,,,,,,,,,,64
1,3,15,VIVI,H,THIR-I,-9999,,,,,,,,,,,,,,,,,65
1,3,16,VIVI,H,GITR,-9999,,,,,,,,,,,,,,,,,66
1,3,17,VIVI,H,CLPU,-9999,,,,,,,,,,,,,,,,,67
1,3,18,VIVI,H,AVBA,-9999,,,,,,,,,,,,,,,,,68
1,3,19,VIVI,H,empty,-9999,,,,,,,,,,,,,,,,,69
1,3,20,VIVI,H,ANAR,-9999,,,,,,,,,,,,,,,,,70
1,3,21,VIVI,H,empty,-9999,,,,,,,,,,,,,,,,,71
1,3,22,VIVI,H,empty,-9999,,,,,,,,,,,,,,,,,72
1,3,23,VIVI,H,ERBO,-9999,,,,,,,,,,,,,,,,,73
1,3,24,VIVI,H,AMME,-9999,,,,,,,,,,,,,,,,,74
1,3,25,VIVI,H,empty,-9999,,,,,,,,,,,,,,,,,75
1,4,1,BRNI,L,BRNI,1,04/28/2022,04/28/2022,,18,1,04/28/2022,65,0,2,0,0,2,4,4/28 - 1 BRNI phytometer still vegetative,,,76
1,4,2,BRNI,L,AVBA,0,04/28/2022,,,,5,04/28/2022,85,0,0,0,0,1,14,,,,77
1,4,3,BRNI,L,CLPU,0,04/28/2022,,,10,0,04/28/2022,40,0,2,0,0,5,2,,,,78
1,4,4,BRNI,L,empty,,,,,,,,,,,,,,,,,,79
1,4,5,BRNI,L,empty,,,,,,,,,,,,,,,,,,80
1,4,6,BRNI,L,AMME,2,04/04/2022,04/04/2022,,18,3,04/04/2022,158,0,1,0,0,1,0,,,,81
1,4,7,BRNI,L,MICA,1,04/04/2022,04/04/2022,,10,3,04/04/2022,77,0,0,0,0,0,0,,,,82
1,4,8,BRNI,L,ACAM,2,04/28/2022,,,10,5,04/28/2022,25,0,0,0,0,2,1,,,,83
1,4,9,BRNI,L,ERBO,-9999,,,,,,,,,,,,,,,,,84
1,4,10,BRNI,L,empty,,,,,,,,,,,,,,,,,,85
1,4,11,BRNI,L,VIVI,-9999,,,,,,,,,,,,,,,,,86
1,4,12,BRNI,L,GITR,0,04/19/2022,,,10,3,04/19/2022,54,0,0,0,0,2,0,,,,87
1,4,13,BRNI,L,LOMU,2,04/28/2022,,,10,2,04/28/2022,34,0,0,0,0,2,2,,,,88
1,4,14,BRNI,L,PLNO,0,04/24/2022,,,18,10,04/24/2022,78,0,1,0,0,3,0,,,,89
1,4,15,BRNI,L,TWIL-I,0,04/13/2022,,,18,13,04/13/2022,40,0,0,0,0,10,2,,,,90
1,4,16,BRNI,L,empty,,,,,,,,,,,,,,,,,,91
1,4,17,BRNI,L,ANAR,1,04/28/2022,,,10,3,04/28/2022,25,0,4,0,0,0,0,,,,92
1,4,18,BRNI,L,THIR-I,1,04/28/2022,,,18,12,04/28/2022,55,0,0,0,0,4,4,,,,93
1,4,19,BRNI,L,empty,,,,,,,,,,,,,,,,,,94
1,4,20,BRNI,L,PLER,1,04/19/2022,04/19/2022,,10,5,04/19/2022,42,0,0,0,0,1,0,,,,95
1,4,21,BRNI,L,TACA,1,04/28/2022,,,10,0,04/28/2022,30,0,0,0,0,2,1,,,,96
1,4,22,BRNI,L,LENI,1,03/24/2022,03/24/2022,,18,1,03/24/2022,121,0,0,0,0,3,2,,,,97
1,4,23,BRNI,L,MAEL,1,04/28/2022,,,18,2,04/28/2022,51,0,0,0,0,9,2,,,,98
1,4,24,BRNI,L,BRHO,3,04/24/2022,04/24/2022,,10,2,04/24/2022,41,0,0,0,0,0,2,other= madia? + small red grass,,,99
1,4,25,BRNI,L,CESO,1,04/28/2022,,,18,11,04/28/2022,46,0,3,0,0,1,1,,,,100
1,5,1,CLPU,L,PLNO,1,04/24/2022,04/24/2022,,18,14,04/24/2022,17,1,0,0,0,4,1,other= spergula ,,,101
1,5,2,CLPU,L,LENI,2,03/24/2022,03/24/2022,,18,9,03/24/2022,90,1,0,0,0,3,0,,,,102
1,5,3,CLPU,L,MAEL,,,,,18,,,,,,,,,,,,,103
1,5,4,CLPU,L,ERBO,-9999,,,,,,,,,,,,,,,,,104
1,5,5,CLPU,L,ANAR,,,,,10,,,,,,,,,,,,,105
1,5,6,CLPU,L,empty,,,,,,,,,,,,,,,,,,106
1,5,7,CLPU,L,BRHO,2,04/24/2022,04/24/2022,,10,5,04/24/2022,33,0,1,0,0,3,1,other= like a small ceso ,,,107
1,5,8,CLPU,L,LOMU,,,,,10,,,,,,,,,,,,,108
1,5,9,CLPU,L,GITR,0,04/19/2022,,,10,6,04/19/2022,64,0,0,0,0,6,1,other = small red grassy weed,,,109
1,5,10,CLPU,L,empty,,,,,,,,,,,,,,,,,,110
1,5,11,CLPU,L,empty,,,,,,,,,,,,,,,,,,111
1,5,12,CLPU,L,empty,,,,,,,,,,,,,,,,,,112
1,5,13,CLPU,L,CESO,,,,,18,,,,,,,,,,,,,113
1,5,14,CLPU,L,empty,,,,,,,,,,,,,,,,,,114
1,5,15,CLPU,L,THIR-I,,,,,18,,,,,,,,,,,,,115
1,5,16,CLPU,L,MICA,1,04/04/2022,04/04/2022,,10,1,04/04/2022,36,0,0,0,0,1,0,,,,116
1,5,17,CLPU,L,TACA,,,,,10,,,,,,,,,,,,,117
1,5,18,CLPU,L,BRNI,0,04/28/2022,,,18,14,04/28/2022,60,0,1,0,1,7,0,,,,118
1,5,19,CLPU,L,ACAM,,,,,10,,,,,,,,,,,,,119
1,5,20,CLPU,L,TWIL-I,0,04/13/2022,,,18,11,04/13/2022,36,0,0,0,0,12,0,,,,120
1,5,21,CLPU,L,AMME,2,04/05/2022,04/05/2022,,18,6,04/05/2022,54,0,0,0,0,1,5,,,,121
1,5,22,CLPU,L,CLPU,,,,,10,,,,,,,,,,,,,122
1,5,23,CLPU,L,VIVI,-9999,,,,,,,,,,,,,,,,,123
1,5,24,CLPU,L,AVBA,1,05/04/2022,,,,5,05/04/2022,25,0,0,0,0,15,0,,,,124
1,5,25,CLPU,L,PLER,0,04/19/2022,,,10,0,04/19/2022,0,0,0,0,0,0,0,,,,125
1,6,1,ACAM,H,BRNI,0,04/27/2022,,,18,5,04/27/2022,25,0,1,0,0,6,1,,,,126
1,6,2,ACAM,H,empty,,,,,,,,,,,,,,,,,,127
1,6,3,ACAM,H,CLPU,,,,,10,,,,,,,,,,,,,128
1,6,4,ACAM,H,AMME,1,04/05/2022,04/05/2022,,18,4,04/05/2022,71,0,2,0,0,2,0,,,,129
1,6,5,ACAM,H,BRHO,2,04/24/2022,04/24/2022,,10,3,04/24/2022,0,0,0,0,0,0,0,,,,130
1,6,6,ACAM,H,PLNO,1,04/24/2022,,,18,8,04/24/2022,17,0,0,0,0,9,1,"have not collected , still budding , other= small true leaves",,,131
1,6,7,ACAM,H,TACA,,,,,10,,,,,,,,,,,,,132
1,6,8,ACAM,H,ANAR,,,,,10,,,,,,,,,,,,,133
1,6,9,ACAM,H,GITR,1,04/19/2022,04/19/2022,,10,0,04/19/2022,0,0,2,0,0,2,0,,,,134
1,6,10,ACAM,H,TWIL-I,1,04/13/2022,04/13/2022,,18,4,04/13/2022,30,0,1,0,0,5,0,,,,135
1,6,11,ACAM,H,ERBO,-9999,,,,,,,,,,,,,,,,,136
1,6,12,ACAM,H,LENI,1,03/24/2022,03/24/2022,,18,9,03/24/2022,85,0,0,0,0,4,1,,,,137
1,6,13,ACAM,H,MICA,2,04/05/2022,04/05/2022,,10,2,04/05/2022,25,0,0,0,0,4,0,,,,138
1,6,14,ACAM,H,empty,,,,,,,,,,,,,,,,,,139
1,6,15,ACAM,H,AVBA,0,05/04/2022,,,,9,05/04/2022,50,0,8,0,0,4,1,other=THIR,,,140
1,6,16,ACAM,H,PLER,1,04/19/2022,04/19/2022,,10,2,04/19/2022,58,0,0,0,0,3,0,,,,141
1,6,17,ACAM,H,CESO,,,,,18,,,,,,,,,,,,,142
1,6,18,ACAM,H,LOMU,,,,,10,,,,,,,,,,,,,143
1,6,19,ACAM,H,MAEL,,,,,18,,,,,,,,,,,,,144
1,6,20,ACAM,H,empty,,,,,,,,,,,,,,,,,,145
1,6,21,ACAM,H,THIR-I,,,,,18,,,,,,,,,,,,,146
1,6,22,ACAM,H,VIVI,-9999,,,,,,,,,,,,,,,,,147
1,6,23,ACAM,H,empty,,,,,,,,,,,,,,,,,,148
1,6,24,ACAM,H,empty,,,,,,,,,,,,,,,,,,149
1,6,25,ACAM,H,ACAM,,,,,10,,,,,,,,,,,,,150
1,7,1,VIVI,L,PLNO,-9999,,,,,,,,,,,,,,,,,151
1,7,2,VIVI,L,BRNI,-9999,,,,,,,,,,,,,,,,,152
1,7,3,VIVI,L,CLPU,-9999,,,,,,,,,,,,,,,,,153
1,7,4,VIVI,L,TACA,-9999,,,,,,,,,,,,,,,,,154
1,7,5,VIVI,L,MICA,-9999,,,,,,,,,,,,,,,,,155
1,7,6,VIVI,L,AVBA,-9999,,,,,,,,,,,,,,,,,156
1,7,7,VIVI,L,empty,-9999,,,,,,,,,,,,,,,,,157
1,7,8,VIVI,L,VIVI,-9999,,,,,,,,,,,,,,,,,158
1,7,9,VIVI,L,PLER,-9999,,,,,,,,,,,,,,,,,159
1,7,10,VIVI,L,ANAR,-9999,,,,,,,,,,,,,,,,,160
1,7,11,VIVI,L,AMME,-9999,,,,,,,,,,,,,,,,,161
1,7,12,VIVI,L,ERBO,-9999,,,,,,,,,,,,,,,,,162
1,7,13,VIVI,L,CESO,-9999,,,,,,,,,,,,,,,,,163
1,7,14,VIVI,L,BRHO,-9999,,,,,,,,,,,,,,,,,164
1,7,15,VIVI,L,empty,-9999,,,,,,,,,,,,,,,,,165
1,7,16,VIVI,L,THIR-I,-9999,,,,,,,,,,,,,,,,,166
1,7,17,VIVI,L,ACAM,-9999,,,,,,,,,,,,,,,,,167
1,7,18,VIVI,L,MAEL,-9999,,,,,,,,,,,,,,,,,168
1,7,19,VIVI,L,LENI,-9999,,,,,,,,,,,,,,,,,169
1,7,20,VIVI,L,empty,-9999,,,,,,,,,,,,,,,,,170
1,7,21,VIVI,L,LOMU,-9999,,,,,,,,,,,,,,,,,171
1,7,22,VIVI,L,GITR,-9999,,,,,,,,,,,,,,,,,172
1,7,23,VIVI,L,empty,-9999,,,,,,,,,,,,,,,,,173
1,7,24,VIVI,L,TWIL-I,-9999,,,,,,,,,,,,,,,,,174
1,7,25,VIVI,L,empty,-9999,,,,,,,,,,,,,,,,,175
1,8,1,BRNI,H,LOMU,1,04/28/2022,,,10,8,04/28/2022,7,0,0,0,0,5,0,,,,176
1,8,2,BRNI,H,empty,,,,,,,,,,,,,,,,,,177
1,8,3,BRNI,H,ERBO,-9999,,,,,,,,,,,,,,,,,178
1,8,4,BRNI,H,TACA,3,04/29/2022,,,10,3,04/29/2022,0,0,0,0,0,1,0,,,,179
1,8,5,BRNI,H,GITR,1,04/19/2022,04/19/2022,,10,3,04/19/2022,4,0,0,0,0,0,4,other= 3ANAR+ 1 unknown,,,180
1,8,6,BRNI,H,AMME,1,04/05/2022,04/28/2022,,18,55,04/05/2022,2,0,0,0,0,2,0,"CORRECTED; 4/28 - 1 AMME phyto meter located, # individuals changed from 0 to 1",,,181
1,8,7,BRNI,H,CESO,0,04/28/2022,,,18,35,04/28/2022,5,0,1,0,0,5,0,,,,182
1,8,8,BRNI,H,LENI,0,03/24/2022,,,18,23,03/24/2022,2,0,0,0,0,4,0,,,,183
1,8,9,BRNI,H,ANAR,1,04/29/2022,,,10,9,04/29/2022,2,1,0,0,0,2,0,,,,184
1,8,10,BRNI,H,MICA,0,04/05/2022,,,10,3,04/05/2022,0,0,0,0,0,4,0,,,,185
1,8,11,BRNI,H,empty,,,,,,,,,,,,,,,,,,186
1,8,12,BRNI,H,THIR-I,0,04/28/2022,,,18,24,04/28/2022,3,0,1,0,0,5,0,,,,187
1,8,13,BRNI,H,VIVI,-9999,,,,,,,,,,,,,,,,,188
1,8,14,BRNI,H,empty,,,,,,,,,,,,,,,,,,189
1,8,15,BRNI,H,empty,,,,,,,,,,,,,,,,,,190
1,8,16,BRNI,H,TWIL-I,1,04/13/2022,04/13/2022,,18,16,04/13/2022,24,0,0,0,0,4,0,,,,191
1,8,17,BRNI,H,BRNI,1,04/28/2022,04/28/2022,,18,52,04/28/2022,0,0,0,0,0,0,0,,,,192
1,8,18,BRNI,H,ACAM,0,04/29/2022,,,10,5,04/29/2022,3,0,0,0,0,1,0,,,,193
1,8,19,BRNI,H,CLPU,0,04/29/2022,,,10,12,04/29/2022,0,0,0,0,0,2,0,,,,194
1,8,20,BRNI,H,AVBA,1,04/29/2022,,,,9,04/29/2022,6,0,0,0,0,0,2,,,,195
1,8,21,BRNI,H,BRHO,2,04/24/2022,04/24/2022,,10,9,04/24/2022,0,0,0,0,0,0,0,,,,196
1,8,22,BRNI,H,empty,,,,,,,,,,,,,,,,,,197
1,8,23,BRNI,H,PLNO,0,04/24/2022,,,18,14,04/24/2022,0,0,1,0,0,1,0,,,,198
1,8,24,BRNI,H,MAEL,1,04/29/2022,,,18,20,04/29/2022,29,0,0,0,0,14,7,,,,199
1,8,25,BRNI,H,PLER,0,04/19/2022,,,10,0,04/19/2022,38,0,0,0,0,1,0,,,,200
1,9,1,ANAR,H,empty,,,,,,,,,,,,,,,,,,201
1,9,2,ANAR,H,empty,,,,,,,,,,,,,,,,,,202
1,9,3,ANAR,H,BRNI,1,04/27/2022,04/27/2022,,18,51,04/27/2022,19,0,1,0,0,10,0,,,,203
1,9,4,ANAR,H,empty,,,,,,,,,,,,,,,,,,204
1,9,5,ANAR,H,PLER,0,04/19/2022,,,10,28,04/19/2022,0,0,0,0,0,2,0,,,,205
1,9,6,ANAR,H,GITR,0,04/19/2022,,,10,32,04/19/2022,6,0,0,0,0,2,0,,,,206
1,9,7,ANAR,H,VIVI,-9999,,,,,,,,,,,,,,,,,207
1,9,8,ANAR,H,LENI,1,03/24/2022,03/24/2022,,18,34,03/24/2022,30,0,0,0,0,6,0,,,,208
1,9,9,ANAR,H,BRHO,1,04/24/2022,04/24/2022,,10,25,04/24/2022,0,0,0,0,0,0,0,,,,209
1,9,10,ANAR,H,TWIL-I,0,04/13/2022,,,18,38,04/13/2022,38,0,2,0,0,1,0,,,,210
1,9,11,ANAR,H,PLNO,1,04/24/2022,04/24/2022,,18,71,04/24/2022,35,0,5,0,0,1,0,,,,211
1,9,12,ANAR,H,THIR-I,0,05/06/2022,,,18,34,05/06/2022,0,0,4,0,0,0,0,,,,212
1,9,13,ANAR,H,empty,,,,,,,,,,,,,,,,,,213
1,9,14,ANAR,H,CLPU,0,05/06/2022,,,10,17,05/06/2022,6,0,3,0,0,0,0,,,,214
1,9,15,ANAR,H,TACA,1,05/06/2022,,B,10,14,05/06/2022,6,0,0,0,0,0,0,Most southern phyto closest to CESO.,,,11758
1,9,15,ANAR,H,TACA,2,05/06/2022,,A,10,6,05/06/2022,0,0,1,0,0,0,0,most northern and Eastern phytos.,,,215
1,9,16,ANAR,H,AVBA,0,05/06/2022,,,,39,05/06/2022,8,0,0,0,0,3,0,,,,216
1,9,17,ANAR,H,ACAM,1,05/06/2022,,,10,25,05/06/2022,0,0,2,0,0,0,0,,,,217
1,9,18,ANAR,H,MAEL,1,05/06/2022,,,18,18,05/06/2022,7,0,2,0,0,0,0,,,,218
1,9,19,ANAR,H,ANAR,,,,,10,,,,,,,,,,,,,219
1,9,20,ANAR,H,CESO,1,05/06/2022,,,18,13,05/06/2022,0,0,3,0,0,0,1,,,,220
1,9,21,ANAR,H,MICA,2,04/05/2022,04/05/2022,,10,15,04/05/2022,19,0,0,0,0,1,0,,,,221
1,9,22,ANAR,H,empty,,,,,,,,,,,,,,,,,,222
1,9,23,ANAR,H,LOMU,1,05/06/2022,,A,10,1,05/06/2022,0,0,3,0,0,1,0,Most northeastern phyto.,,,223
1,9,23,ANAR,H,LOMU,1,05/06/2022,,B,10,2,05/06/2022,2,0,3,0,0,1,0,most northwestern phyto.,,,11759
1,9,23,ANAR,H,LOMU,1,05/06/2022,,C,10,1,05/06/2022,7,0,1,0,0,1,0,most southern phyto. ,,,11760
1,9,24,ANAR,H,AMME,0,04/05/2022,,,18,10,04/05/2022,19,0,5,0,0,3,0,,,,224
1,9,25,ANAR,H,ERBO,-9999,,,,,,,,,,,,,,,,,225
1,10,1,BRHO,H,CLPU,0,04/20/2022,,,10,19,04/20/2022,0,0,0,0,0,0,0,,,,226
1,10,2,BRHO,H,GITR,3,04/19/2022,04/19/2022,,10,28,04/19/2022,0,0,1,0,0,1,1,other= unknown,,,227
1,10,3,BRHO,H,PLER,1,04/19/2022,04/19/2022,,10,20,04/19/2022,0,0,0,0,1,0,0,HYGL = sencio,,,228
1,10,4,BRHO,H,empty,,,,,,,,,,,,,,,,,,229
1,10,5,BRHO,H,PLNO,1,04/20/2022,04/20/2022,,18,129,04/20/2022,15,0,2,0,1,0,9,,,,230
1,10,6,BRHO,H,LOMU,3,04/20/2022,,,10,18,04/20/2022,0,0,0,0,0,0,0,,,,231
1,10,7,BRHO,H,TACA,2,04/20/2022,,,10,37,04/20/2022,5,0,0,0,0,0,2,,,,232
1,10,8,BRHO,H,ANAR,0,04/20/2022,,,10,31,04/20/2022,0,1,0,0,0,0,1,,,,233
1,10,9,BRHO,H,TWIL-U,0,04/13/2022,,,18,40,04/13/2022,14,1,0,0,1,1,1,,,,234
1,10,10,BRHO,H,THIR-I,3,04/20/2022,,,18,104,04/20/2022,25,1,0,0,1,0,0,,,,235
1,10,11,BRHO,H,empty,,,,,,,,,,,,,,,,,,236
1,10,12,BRHO,H,LENI,1,03/24/2022,03/24/2022,,18,33,03/24/2022,18,0,0,0,0,0,0,,,,237
1,10,13,BRHO,H,ACAM,1,04/20/2022,,B,,28,04/20/2022,0,0,6,0,0,0,0,SE of other phyto,,,11647
1,10,13,BRHO,H,ACAM,1,04/20/2022,,A,10,30,04/20/2022,0,0,1,0,0,0,0,NW of other phyto. Please keep separate !,,,238
1,10,14,BRHO,H,TWIL-I,0,04/13/2022,,,18,45,04/13/2022,12,1,0,0,1,1,0,,,,239
1,10,15,BRHO,H,VIVI,-9999,,,,,,,,,,,,,,,,,240
1,10,16,BRHO,H,MAEL,1,04/20/2022,,,18,20,04/20/2022,5,1,1,0,2,1,1,,,,241
1,10,17,BRHO,H,BRNI,1,04/20/2022,04/27/2022,,18,60,04/20/2022,0,0,4,0,0,0,1,other=CESO,,,242
1,10,18,BRHO,H,BRHO,1,04/20/2022,04/20/2022,,10,23,04/20/2022,5,0,0,0,0,2,1,,,,243
1,10,19,BRHO,H,THIR-U,2,04/20/2022,,,18,66,04/20/2022,0,0,2,0,0,3,2,,,,244
1,10,20,BRHO,H,MICA,1,04/05/2022,04/05/2022,,10,7,04/05/2022,11,0,1,0,0,0,0,,,,245
1,10,21,BRHO,H,ERBO,-9999,,,,,,,,,,,,,,,,,246
1,10,22,BRHO,H,empty,,,,,,,,,,,,,,,,,subplot: there is a chance this has CESO in it and subplot 23 is empty,247
1,10,23,BRHO,H,CESO,2,04/20/2022,,,18,52,04/20/2022,0,0,0,0,0,0,1,Other= BRNI,,,248
1,10,24,BRHO,H,AMME,2,04/05/2022,04/05/2022,,18,41,04/05/2022,47,0,0,0,0,0,0,,,,249
1,10,25,BRHO,H,AVBA,1,04/20/2022,,,,42,04/20/2022,0,1,0,0,0,0,0,,,,250
1,11,,empty,,,,,,,,,,,,,,,,,,,,251
1,12,1,GITR,L,LENI,0,03/24/2022,,,18,43,03/24/2022,37,2,0,0,0,1,0,,,,252
1,12,2,GITR,L,CESO,1,04/20/2022,,,18,33,04/20/2022,120,0,1,0,0,1,10,"9 other  = small, pale rosette, succulent like",,,253
1,12,3,GITR,L,ERBO,-9999,,,,,,,,,,,,,,,,,254
1,12,4,GITR,L,CLPU,1,04/20/2022,,,10,21,04/20/2022,35,0,0,0,0,0,3,,,,255
1,12,5,GITR,L,PLER,1,04/20/2022,04/20/2022,,,37,04/20/2022,5,0,0,0,0,0,0,CORRECTED. found I phyto. Unsure if others were collected or found? This one is close to the buffer and could have been missed,,,11648
1,12,6,GITR,L,THIR-I,0,04/20/2022,,,18,54,04/20/2022,25,1,2,0,1,0,1,,,,257
